t=2026-01-07T08:47:25+0700 lvl=info msg="no configuration paths supplied"
t=2026-01-07T08:47:25+0700 lvl=info msg="using configuration at default config path" path="/Users/yusuf.noor/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-07T08:47:25+0700 lvl=info msg="open config file" path="/Users/yusuf.noor/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-07T08:47:25+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-07T08:47:25+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-07T08:47:25+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-07T08:47:25+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-07T08:47:25+0700 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://eliana-cookable-danilo.ngrok-free.dev
t=2026-01-07T08:47:50+0700 lvl=info msg="join connections" obj=join id=bd16c441b182 l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=0e0f962971b3 l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=7960245d50d9 l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=1f86409e860e l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=0fdf65b00c37 l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=6444ae2f7c02 l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=bbc4fb40c3fc l=[::1]:3000 r=203.83.40.12:35986
t=2026-01-07T08:47:51+0700 lvl=info msg="join connections" obj=join id=7c9b47626869 l=[::1]:3000 r=203.83.40.12:35986
